title,year,rating,genre,mood,language,imdb,description
Movie 1,1991,PG,comedy,happy,Hindi,6.1,Sample description for Movie 1.
Movie 2,1992,PG-13,drama,motivated,Korean,6.2,Sample description for Movie 2.
Movie 3,1993,UA,horror,scared,Japanese,6.3,Sample description for Movie 3.
Movie 4,1994,R,romance,sad,Tamil,6.4,Sample description for Movie 4.
Movie 5,1995,G,sci-fi,relaxed,Telugu,6.5,Sample description for Movie 5.
Movie 6,1996,PG,fantasy,emotional,Punjabi,6.6,Sample description for Movie 6.
Movie 7,1997,PG-13,thriller,thrilling,English,6.7,Sample description for Movie 7.
Movie 8,1998,UA,adventure,excited,Hindi,6.8,Sample description for Movie 8.
Movie 9,1999,R,action,happy,Korean,6.9,Sample description for Movie 9.
Movie 10,2000,G,comedy,motivated,Japanese,7.0,Sample description for Movie 10.
Movie 11,2001,PG,drama,scared,Tamil,7.1,Sample description for Movie 11.
Movie 12,2002,PG-13,horror,sad,Telugu,7.2,Sample description for Movie 12.
Movie 13,2003,UA,romance,relaxed,Punjabi,7.3,Sample description for Movie 13.
Movie 14,2004,R,sci-fi,emotional,English,7.4,Sample description for Movie 14.
Movie 15,2005,G,fantasy,thrilling,Hindi,7.5,Sample description for Movie 15.
Movie 16,2006,PG,thriller,excited,Korean,7.6,Sample description for Movie 16.
Movie 17,2007,PG-13,adventure,happy,Japanese,7.7,Sample description for Movie 17.
Movie 18,2008,UA,action,motivated,Tamil,7.8,Sample description for Movie 18.
Movie 19,2009,R,comedy,scared,Telugu,7.9,Sample description for Movie 19.
Movie 20,2010,G,drama,sad,Punjabi,8.0,Sample description for Movie 20.
Movie 21,2011,PG,horror,relaxed,English,8.1,Sample description for Movie 21.
Movie 22,2012,PG-13,romance,emotional,Hindi,8.2,Sample description for Movie 22.
Movie 23,2013,UA,sci-fi,thrilling,Korean,8.3,Sample description for Movie 23.
Movie 24,2014,R,fantasy,excited,Japanese,8.4,Sample description for Movie 24.
Movie 25,2015,G,thriller,happy,Tamil,8.5,Sample description for Movie 25.
Movie 26,2016,PG,adventure,motivated,Telugu,8.6,Sample description for Movie 26.
Movie 27,2017,PG-13,action,scared,Punjabi,8.7,Sample description for Movie 27.
Movie 28,2018,UA,comedy,sad,English,8.8,Sample description for Movie 28.
Movie 29,2019,R,drama,relaxed,Hindi,8.9,Sample description for Movie 29.
Movie 30,2020,G,horror,emotional,Korean,9.0,Sample description for Movie 30.
Movie 31,2021,PG,romance,thrilling,Japanese,9.1,Sample description for Movie 31.
Movie 32,2022,PG-13,sci-fi,excited,Tamil,9.2,Sample description for Movie 32.
Movie 33,2023,UA,fantasy,happy,Telugu,9.3,Sample description for Movie 33.
Movie 34,2024,R,thriller,motivated,Punjabi,9.4,Sample description for Movie 34.
Movie 35,2025,G,adventure,scared,English,6.0,Sample description for Movie 35.
Movie 36,1990,PG,action,sad,Hindi,6.1,Sample description for Movie 36.
Movie 37,1991,PG-13,comedy,relaxed,Korean,6.2,Sample description for Movie 37.
Movie 38,1992,UA,drama,emotional,Japanese,6.3,Sample description for Movie 38.
Movie 39,1993,R,horror,thrilling,Tamil,6.4,Sample description for Movie 39.
Movie 40,1994,G,romance,excited,Telugu,6.5,Sample description for Movie 40.
Movie 41,1995,PG,sci-fi,happy,Punjabi,6.6,Sample description for Movie 41.
Movie 42,1996,PG-13,fantasy,motivated,English,6.7,Sample description for Movie 42.
Movie 43,1997,UA,thriller,scared,Hindi,6.8,Sample description for Movie 43.
Movie 44,1998,R,adventure,sad,Korean,6.9,Sample description for Movie 44.
Movie 45,1999,G,action,relaxed,Japanese,7.0,Sample description for Movie 45.
Movie 46,2000,PG,comedy,emotional,Tamil,7.1,Sample description for Movie 46.
Movie 47,2001,PG-13,drama,thrilling,Telugu,7.2,Sample description for Movie 47.
Movie 48,2002,UA,horror,excited,Punjabi,7.3,Sample description for Movie 48.
Movie 49,2003,R,romance,happy,English,7.4,Sample description for Movie 49.
Movie 50,2004,G,sci-fi,motivated,Hindi,7.5,Sample description for Movie 50.
Movie 51,2005,PG,fantasy,scared,Korean,7.6,Sample description for Movie 51.
Movie 52,2006,PG-13,thriller,sad,Japanese,7.7,Sample description for Movie 52.
Movie 53,2007,UA,adventure,relaxed,Tamil,7.8,Sample description for Movie 53.
Movie 54,2008,R,action,emotional,Telugu,7.9,Sample description for Movie 54.
Movie 55,2009,G,comedy,thrilling,Punjabi,8.0,Sample description for Movie 55.
Movie 56,2010,PG,drama,excited,English,8.1,Sample description for Movie 56.
Movie 57,2011,PG-13,horror,happy,Hindi,8.2,Sample description for Movie 57.
Movie 58,2012,UA,romance,motivated,Korean,8.3,Sample description for Movie 58.
Movie 59,2013,R,sci-fi,scared,Japanese,8.4,Sample description for Movie 59.
Movie 60,2014,G,fantasy,sad,Tamil,8.5,Sample description for Movie 60.
Movie 61,2015,PG,thriller,relaxed,Telugu,8.6,Sample description for Movie 61.
Movie 62,2016,PG-13,adventure,emotional,Punjabi,8.7,Sample description for Movie 62.
Movie 63,2017,UA,action,thrilling,English,8.8,Sample description for Movie 63.
Movie 64,2018,R,comedy,excited,Hindi,8.9,Sample description for Movie 64.
Movie 65,2019,G,drama,happy,Korean,9.0,Sample description for Movie 65.
Movie 66,2020,PG,horror,motivated,Japanese,9.1,Sample description for Movie 66.
Movie 67,2021,PG-13,romance,scared,Tamil,9.2,Sample description for Movie 67.
Movie 68,2022,UA,sci-fi,sad,Telugu,9.3,Sample description for Movie 68.
Movie 69,2023,R,fantasy,relaxed,Punjabi,9.4,Sample description for Movie 69.
Movie 70,2024,G,thriller,emotional,English,6.0,Sample description for Movie 70.
Movie 71,2025,PG,adventure,thrilling,Hindi,6.1,Sample description for Movie 71.
Movie 72,1990,PG-13,action,excited,Korean,6.2,Sample description for Movie 72.
Movie 73,1991,UA,comedy,happy,Japanese,6.3,Sample description for Movie 73.
Movie 74,1992,R,drama,motivated,Tamil,6.4,Sample description for Movie 74.
Movie 75,1993,G,horror,scared,Telugu,6.5,Sample description for Movie 75.
Movie 76,1994,PG,romance,sad,Punjabi,6.6,Sample description for Movie 76.
Movie 77,1995,PG-13,sci-fi,relaxed,English,6.7,Sample description for Movie 77.
Movie 78,1996,UA,fantasy,emotional,Hindi,6.8,Sample description for Movie 78.
Movie 79,1997,R,thriller,thrilling,Korean,6.9,Sample description for Movie 79.
Movie 80,1998,G,adventure,excited,Japanese,7.0,Sample description for Movie 80.
Movie 81,1999,PG,action,happy,Tamil,7.1,Sample description for Movie 81.
Movie 82,2000,PG-13,comedy,motivated,Telugu,7.2,Sample description for Movie 82.
Movie 83,2001,UA,drama,scared,Punjabi,7.3,Sample description for Movie 83.
Movie 84,2002,R,horror,sad,English,7.4,Sample description for Movie 84.
Movie 85,2003,G,romance,relaxed,Hindi,7.5,Sample description for Movie 85.
Movie 86,2004,PG,sci-fi,emotional,Korean,7.6,Sample description for Movie 86.
Movie 87,2005,PG-13,fantasy,thrilling,Japanese,7.7,Sample description for Movie 87.
Movie 88,2006,UA,thriller,excited,Tamil,7.8,Sample description for Movie 88.
Movie 89,2007,R,adventure,happy,Telugu,7.9,Sample description for Movie 89.
Movie 90,2008,G,action,motivated,Punjabi,8.0,Sample description for Movie 90.
Movie 91,2009,PG,comedy,scared,English,8.1,Sample description for Movie 91.
Movie 92,2010,PG-13,drama,sad,Hindi,8.2,Sample description for Movie 92.
Movie 93,2011,UA,horror,relaxed,Korean,8.3,Sample description for Movie 93.
Movie 94,2012,R,romance,emotional,Japanese,8.4,Sample description for Movie 94.
Movie 95,2013,G,sci-fi,thrilling,Tamil,8.5,Sample description for Movie 95.
Movie 96,2014,PG,fantasy,excited,Telugu,8.6,Sample description for Movie 96.
Movie 97,2015,PG-13,thriller,happy,Punjabi,8.7,Sample description for Movie 97.
Movie 98,2016,UA,adventure,motivated,English,8.8,Sample description for Movie 98.
Movie 99,2017,R,action,scared,Hindi,8.9,Sample description for Movie 99.
Movie 100,2018,G,comedy,sad,Korean,9.0,Sample description for Movie 100.
Movie 101,2019,PG,drama,relaxed,Japanese,9.1,Sample description for Movie 101.
Movie 102,2020,PG-13,horror,emotional,Tamil,9.2,Sample description for Movie 102.
Movie 103,2021,UA,romance,thrilling,Telugu,9.3,Sample description for Movie 103.
Movie 104,2022,R,sci-fi,excited,Punjabi,9.4,Sample description for Movie 104.
Movie 105,2023,G,fantasy,happy,English,6.0,Sample description for Movie 105.
Movie 106,2024,PG,thriller,motivated,Hindi,6.1,Sample description for Movie 106.
Movie 107,2025,PG-13,adventure,scared,Korean,6.2,Sample description for Movie 107.
Movie 108,1990,UA,action,sad,Japanese,6.3,Sample description for Movie 108.
Movie 109,1991,R,comedy,relaxed,Tamil,6.4,Sample description for Movie 109.
Movie 110,1992,G,drama,emotional,Telugu,6.5,Sample description for Movie 110.
Movie 111,1993,PG,horror,thrilling,Punjabi,6.6,Sample description for Movie 111.
Movie 112,1994,PG-13,romance,excited,English,6.7,Sample description for Movie 112.
Movie 113,1995,UA,sci-fi,happy,Hindi,6.8,Sample description for Movie 113.
Movie 114,1996,R,fantasy,motivated,Korean,6.9,Sample description for Movie 114.
Movie 115,1997,G,thriller,scared,Japanese,7.0,Sample description for Movie 115.
Movie 116,1998,PG,adventure,sad,Tamil,7.1,Sample description for Movie 116.
Movie 117,1999,PG-13,action,relaxed,Telugu,7.2,Sample description for Movie 117.
Movie 118,2000,UA,comedy,emotional,Punjabi,7.3,Sample description for Movie 118.
Movie 119,2001,R,drama,thrilling,English,7.4,Sample description for Movie 119.
Movie 120,2002,G,horror,excited,Hindi,7.5,Sample description for Movie 120.
Movie 121,2003,PG,romance,happy,Korean,7.6,Sample description for Movie 121.
Movie 122,2004,PG-13,sci-fi,motivated,Japanese,7.7,Sample description for Movie 122.
Movie 123,2005,UA,fantasy,scared,Tamil,7.8,Sample description for Movie 123.
Movie 124,2006,R,thriller,sad,Telugu,7.9,Sample description for Movie 124.
Movie 125,2007,G,adventure,relaxed,Punjabi,8.0,Sample description for Movie 125.
Movie 126,2008,PG,action,emotional,English,8.1,Sample description for Movie 126.
Movie 127,2009,PG-13,comedy,thrilling,Hindi,8.2,Sample description for Movie 127.
Movie 128,2010,UA,drama,excited,Korean,8.3,Sample description for Movie 128.
Movie 129,2011,R,horror,happy,Japanese,8.4,Sample description for Movie 129.
Movie 130,2012,G,romance,motivated,Tamil,8.5,Sample description for Movie 130.
Movie 131,2013,PG,sci-fi,scared,Telugu,8.6,Sample description for Movie 131.
Movie 132,2014,PG-13,fantasy,sad,Punjabi,8.7,Sample description for Movie 132.
Movie 133,2015,UA,thriller,relaxed,English,8.8,Sample description for Movie 133.
Movie 134,2016,R,adventure,emotional,Hindi,8.9,Sample description for Movie 134.
Movie 135,2017,G,action,thrilling,Korean,9.0,Sample description for Movie 135.
Movie 136,2018,PG,comedy,excited,Japanese,9.1,Sample description for Movie 136.
Movie 137,2019,PG-13,drama,happy,Tamil,9.2,Sample description for Movie 137.
Movie 138,2020,UA,horror,motivated,Telugu,9.3,Sample description for Movie 138.
Movie 139,2021,R,romance,scared,Punjabi,9.4,Sample description for Movie 139.
Movie 140,2022,G,sci-fi,sad,English,6.0,Sample description for Movie 140.
Movie 141,2023,PG,fantasy,relaxed,Hindi,6.1,Sample description for Movie 141.
Movie 142,2024,PG-13,thriller,emotional,Korean,6.2,Sample description for Movie 142.
Movie 143,2025,UA,adventure,thrilling,Japanese,6.3,Sample description for Movie 143.
Movie 144,1990,R,action,excited,Tamil,6.4,Sample description for Movie 144.
Movie 145,1991,G,comedy,happy,Telugu,6.5,Sample description for Movie 145.
Movie 146,1992,PG,drama,motivated,Punjabi,6.6,Sample description for Movie 146.
Movie 147,1993,PG-13,horror,scared,English,6.7,Sample description for Movie 147.
Movie 148,1994,UA,romance,sad,Hindi,6.8,Sample description for Movie 148.
Movie 149,1995,R,sci-fi,relaxed,Korean,6.9,Sample description for Movie 149.
Movie 150,1996,G,fantasy,emotional,Japanese,7.0,Sample description for Movie 150.
Movie 151,1997,PG,thriller,thrilling,Tamil,7.1,Sample description for Movie 151.
Movie 152,1998,PG-13,adventure,excited,Telugu,7.2,Sample description for Movie 152.
Movie 153,1999,UA,action,happy,Punjabi,7.3,Sample description for Movie 153.
Movie 154,2000,R,comedy,motivated,English,7.4,Sample description for Movie 154.
Movie 155,2001,G,drama,scared,Hindi,7.5,Sample description for Movie 155.
Movie 156,2002,PG,horror,sad,Korean,7.6,Sample description for Movie 156.
